id,production companies
168259,Universal Pictures
87101,Paramount Pictures
211672,Universal Pictures
318846,Paramount Pictures
177677,Paramount Pictures
214756,Universal Pictures
254470,Universal Pictures
321697,Universal Pictures
253412,Universal Pictures
201088,Universal Pictures
271718,Universal Pictures
274167,Paramount Pictures
241251,Universal Pictures
273477,Paramount Pictures
287903,Universal Pictures
297291,Universal Pictures
227719,Paramount Pictures
146301,Paramount Pictures
228165,Paramount Pictures
243938,Paramount Pictures
266639,Universal Pictures
347754,Universal Pictures
343934,Paramount Pictures
157336,Paramount Pictures
240832,Universal Pictures
98566,Paramount Pictures
91314,Paramount Pictures
242512,Universal Pictures
49017,Universal Pictures
238636,Universal Pictures
184315,Paramount Pictures
86834,Paramount Pictures
195589,Universal Pictures
168530,Universal Pictures
137094,Paramount Pictures
226857,Universal Pictures
284296,Paramount Pictures
243684,Paramount Pictures
284536,Paramount Pictures
285423,Universal Pictures
11009,Paramount Pictures
11006,Universal Pictures
11590,Universal Pictures
7227,Universal Pictures
50374,Paramount Pictures
38985,Paramount Pictures
24655,Universal Pictures
10670,Universal Pictures
18196,Universal Pictures
16869,Universal Pictures
13475,Paramount Pictures
13183,Paramount Pictures
14869,Paramount Pictures
16871,Universal Pictures
19899,Universal Pictures
11322,Universal Pictures
16995,Universal Pictures
18947,Universal Pictures
25643,Universal Pictures
8373,Paramount Pictures
22897,Universal Pictures
18162,Universal Pictures
26123,Universal Pictures
24418,Universal Pictures
22947,Paramount Pictures
13804,Universal Pictures
38842,Paramount Pictures
17336,Paramount Pictures
22824,Universal Pictures
16558,Universal Pictures
21724,Paramount Pictures
18480,Universal Pictures
15004,Paramount Pictures
20352,Universal Pictures
11324,Paramount Pictures
44264,Paramount Pictures
22538,Universal Pictures
39451,Paramount Pictures
10196,Paramount Pictures
31867,Universal Pictures
25195,Universal Pictures
22972,Universal Pictures
37950,Universal Pictures
45317,Paramount Pictures
32823,Universal Pictures
35019,Universal Pictures
41436,Paramount Pictures
38778,Paramount Pictures
7978,Universal Pictures
58496,Universal Pictures
44040,Universal Pictures
39440,Paramount Pictures
564,Universal Pictures
2668,Paramount Pictures
2105,Universal Pictures
9481,Universal Pictures
9473,Paramount Pictures
2112,Paramount Pictures
4806,Paramount Pictures
10398,Paramount Pictures
10400,Universal Pictures
8649,Paramount Pictures
2275,Paramount Pictures
9451,Paramount Pictures
9423,Universal Pictures
1213,Paramount Pictures
9824,Universal Pictures
13466,Universal Pictures
10397,Paramount Pictures
12220,Universal Pictures
27653,Universal Pictures
11353,Universal Pictures
14709,Paramount Pictures
10219,Universal Pictures
10390,Universal Pictures
15256,Paramount Pictures
8970,Paramount Pictures
22267,Universal Pictures
17709,Universal Pictures
10482,Universal Pictures
1734,Universal Pictures
1995,Paramount Pictures
2770,Universal Pictures
853,Paramount Pictures
9398,Paramount Pictures
1903,Paramount Pictures
1535,Universal Pictures
2043,Paramount Pictures
9896,Paramount Pictures
20857,Paramount Pictures
11371,Paramount Pictures
8386,Universal Pictures
9799,Universal Pictures
9740,Universal Pictures
11456,Paramount Pictures
19366,Universal Pictures
11631,Universal Pictures
4922,Paramount Pictures
1724,Universal Pictures
11253,Universal Pictures
8909,Universal Pictures
10483,Universal Pictures
7191,Paramount Pictures
9870,Universal Pictures
8390,Universal Pictures
15373,Universal Pictures
13486,Universal Pictures
8204,Paramount Pictures
13971,Universal Pictures
12177,Paramount Pictures
8988,Paramount Pictures
8457,Paramount Pictures
12689,Paramount Pictures
14220,Paramount Pictures
14914,Universal Pictures
20268,Paramount Pictures
13490,Universal Pictures
56292,Paramount Pictures
41630,Paramount Pictures
17578,Paramount Pictures
55721,Universal Pictures
37686,Paramount Pictures
44896,Paramount Pictures
49520,Universal Pictures
44826,Paramount Pictures
57157,Paramount Pictures
38050,Universal Pictures
59861,Universal Pictures
39513,Universal Pictures
58233,Universal Pictures
60935,Universal Pictures
59108,Universal Pictures
38319,Universal Pictures
63710,Universal Pictures
64685,Paramount Pictures
50359,Universal Pictures
38356,Paramount Pictures
72571,Paramount Pictures
48340,Universal Pictures
78080,Universal Pictures
51497,Universal Pictures
57353,Universal Pictures
2501,Universal Pictures
245,Universal Pictures
201,Paramount Pictures
590,Paramount Pictures
10375,Universal Pictures
9334,Universal Pictures
4614,Paramount Pictures
10590,Paramount Pictures
9012,Paramount Pictures
9027,Universal Pictures
1537,Paramount Pictures
8665,Paramount Pictures
9298,Universal Pictures
9093,Paramount Pictures
16077,Universal Pictures
15028,Paramount Pictures
11870,Universal Pictures
11022,Paramount Pictures
17130,Paramount Pictures
15992,Paramount Pictures
9533,Universal Pictures
12771,Paramount Pictures
10052,Universal Pictures
47354,Universal Pictures
13440,Universal Pictures
11857,Paramount Pictures
14317,Paramount Pictures
12277,Universal Pictures
13,Paramount Pictures
36593,Paramount Pictures
9331,Paramount Pictures
306,Paramount Pictures
888,Universal Pictures
193,Paramount Pictures
6280,Universal Pictures
8850,Universal Pictures
8831,Universal Pictures
11667,Universal Pictures
2788,Universal Pictures
2087,Universal Pictures
4954,Paramount Pictures
11777,Paramount Pictures
8986,Paramount Pictures
29918,Paramount Pictures
11593,Paramount Pictures
19819,Paramount Pictures
10897,Universal Pictures
8987,Universal Pictures
46717,Paramount Pictures
19855,Universal Pictures
34152,Universal Pictures
49040,Universal Pictures
58595,Universal Pictures
72105,Universal Pictures
75780,Paramount Pictures
71552,Universal Pictures
73723,Universal Pictures
44833,Universal Pictures
82695,Universal Pictures
96724,Universal Pictures
76493,Paramount Pictures
77866,Universal Pictures
72207,Universal Pictures
59961,Universal Pictures
87502,Paramount Pictures
78698,Universal Pictures
72358,Paramount Pictures
82679,Paramount Pictures
82687,Paramount Pictures
82990,Paramount Pictures
101267,Paramount Pictures
310,Universal Pictures
8273,Universal Pictures
9654,Paramount Pictures
9486,Universal Pictures
10028,Universal Pictures
1584,Paramount Pictures
1996,Paramount Pictures
8619,Universal Pictures
9341,Paramount Pictures
1927,Universal Pictures
9919,Paramount Pictures
9562,Paramount Pictures
9620,Paramount Pictures
4464,Universal Pictures
