id,regisseur
135397,Colin Trevorrow
76341,George Miller
262500,Robert Schwentke
140607,J.J. Abrams
168259,James Wan
281957,Alejandro González Iñárritu
87101,Alan Taylor
286217,Ridley Scott
211672,Kyle Balda
150540,Pete Docter
206647,Sam Mendes
76757,Lana Wachowski
264660,Alex Garland
257344,Chris Columbus
99861,Joss Whedon
273248,Quentin Tarantino
260346,Olivier Megaton
102899,Peyton Reed
150689,Kenneth Branagh
131634,Francis Lawrence
158852,Brad Bird
307081,Antoine Fuqua
254128,Brad Peyton
216015,Sam Taylor-Johnson
318846,Adam McKay
177677,Christopher McQuarrie
214756,Seth MacFarlane
207703,Matthew Vaughn
314365,Tom McCarthy
294254,Wes Ball
280996,Bill Condon
198184,Neill Blomkamp
254470,Elizabeth Banks
296098,Steven Spielberg
257445,Rob Letterman
264644,Lenny Abrahamson
339527,Afonso Poyart
105864,Peter Sohn
241554,Jaume Collet-Serra
167073,John Crowley
277216,F. Gary Gray
274854,Breck Eisner
321697,Danny Boyle
203801,Guy Ritchie
293863,Lee Toland Krieger
325348,Ilya Naishuller
228161,Tim Johnson
286565,Jake Schreier
265208,Simon West
254320,Yorgos Lanthimos
258480,Todd Haynes
257211,Nancy Meyers
253412,Baltasar Kormákur
274479,David O. Russell
257088,Ericson Core
295964,John Wells
238615,Tarsem Singh
210860,David Koepp
306819,Tom Hooper
201088,Michael Mann
273481,Denis Villeneuve
166424,Josh Trank
310131,Robert Eggers
238713,Paul Feig
256591,Glenn Ficarra
249070,Aleksander Bach
205775,Ron Howard
334074,James McTeigue
312221,Ryan Coogler
271718,Judd Apatow
333352,Gavin Hood
276907,Brian Helgeland
284289,Jean-Baptiste Léonetti
266647,Joe Wright
347096,Anne K. Black
308369,Alfonso Gomez-Rejon
227973,Steve Martino
321741,Peter Landesman
296100,Jonathan Levine
263472,Eli Roth
228205,"George Tillman, Jr."
159824,Genndy Tartakovsky
333348,Jessie Nelson
285783,Robert Zemeckis
290764,Daniel Benmayor
296099,John Francis Daley
243688,Gil Kenan
287424,Henry Hobson
301875,Drake Doremus
181283,Daniel Espinosa
328425,Joel Edgerton
274167,Sean Anders
370687,A. Todd Smith
307663,Brian A Miller
309809,Mark Osborne
258509,Walt Becker
298382,Jocelyn Moorhouse
272693,Ari Sandel
283445,Ciaran Foy
256961,Andy Fickman
326359,Chris Buck
254302,Ben Wheatley
241251,Rob Cohen
292040,Bharat Nalluri
188222,Doug Ellin
252838,Jeremy Garelick
273477,Christopher B. Landon
298312,M. Night Shyamalan
261023,Scott Cooper
336004,Scott Mann
287903,Michael Dougherty
182560,Gilles Paquet-Brenner
192141,John Erick Dowdle
308639,Rick Famuyiwa
261392,Nima Nourizadeh
304357,Simon Curtis
297291,Mike Elliott
266294,Jason Moore
227719,Dean Israelite
86828,Terry Jones
287948,Camille Delamarre
201085,Guillermo del Toro
277355,Joe Lynch
264999,Gregory Jacobs
146301,Gregory Plotkin
223485,John Maclean
294016,Jay Roach
290751,Billy Ray
309245,Noah Baumbach
228165,Paul Tibbitt
272878,Boaz Yakin
263109,Mark Burton
157827,Joachim Trier
321751,Fernando León de Aranoa
266396,Pierre Morel
277685,Levan Gabriadze
268920,Anne Fletcher
280092,Leigh Whannell
193687,Craig Zobel
300803,Colin Teague
328589,Nicholas Hytner
228066,Paul McGuigan
378373,Gerado Olivares
291270,Duke Johnson
294963,S. Craig Zahler
241257,Alejandro Amenábar
245698,Edward Zwick
353326,Matt Brown
250124,Marielle Heller
290637,Uli Edel
244458,Marjane Satrapi
308504,Kazuaki Kiriya
157843,Werner Herzog
275601,Jonathan Demme
290762,Catherine Hardwicke
